path,type,lines,loc,feature,status
src/app/(dashboard)/settings/info/page.tsx,page,399,365,settings,WARNING
src/app/(dashboard)/ag/[id]/resolutions/new/page.tsx,page,388,346,ag,WARNING
src/app/(dashboard)/ag/[id]/designation-roles/page.tsx,page,365,332,ag,WARNING
src/app/(dashboard)/communication/recherche/page.tsx,page,355,328,communication,WARNING
src/app/(dashboard)/ag/[id]/feuille-presence/page.tsx,page,339,302,ag,WARNING
src/app/(dashboard)/ag/[id]/preparation/page.tsx,page,348,301,ag,WARNING
src/app/(dashboard)/finance/fonds-alur/page.tsx,page,315,297,finance,WARNING
src/app/(dashboard)/finance/calls/page.tsx,page,298,283,finance,WARNING
src/app/(dashboard)/finance/budgets/page.tsx,page,320,278,finance,WARNING
src/app/(dashboard)/finance/tantiemes/page.tsx,page,298,277,finance,WARNING
src/app/(dashboard)/ag/dashboard/page.tsx,page,312,272,ag,WARNING
src/app/(dashboard)/finance/appels-fonds/page.tsx,page,316,263,finance,WARNING
src/app/(dashboard)/finance/budgets/validation/page.tsx,page,292,261,finance,WARNING
src/app/(dashboard)/finance/mouvements-bancaires/page.tsx,page,288,259,finance,WARNING
src/app/(dashboard)/maintenance/logbook/page.tsx,page,287,258,maintenance,WARNING
src/app/(dashboard)/finance/factures/new/page.tsx,page,269,244,finance,OK
src/app/(dashboard)/ag/[id]/votes-correspondance/[coproId]/page.tsx,page,271,232,ag,OK
src/app/(dashboard)/ag/[id]/convocation/page.tsx,page,261,229,ag,OK
src/app/(dashboard)/ag/resolutions/page.tsx,page,247,229,ag,OK
src/app/(dashboard)/communication/mail/[id]/page.tsx,page,250,227,communication,OK
src/app/(dashboard)/documents/balance/page.tsx,page,254,226,documents,OK
src/app/(dashboard)/maintenance/contracts/page.tsx,page,258,221,maintenance,OK
src/app/(dashboard)/conseil-syndical/page.tsx,page,238,219,autres,OK
src/app/(dashboard)/ag/[id]/pv/page.tsx,page,242,216,ag,OK
src/app/(dashboard)/maintenance/contracts/[id]/page.tsx,page,236,210,maintenance,OK
src/app/(dashboard)/finance/comptabilite/page.tsx,page,252,209,finance,OK
src/app/(dashboard)/communication/mail/page.tsx,page,233,204,communication,OK
src/app/(dashboard)/maintenance/providers/coproflex/page.tsx,page,218,201,maintenance,OK
src/app/(dashboard)/ag/[id]/agenda/page.tsx,page,212,196,ag,OK
src/app/(dashboard)/finance/page.tsx,page,211,194,finance,OK
