rank,lines,file,featureGuess,bucket
1,2729,src/app/(dashboard)/finance/mouvements-bancaires/page.tsx,finance/mouvements-bancaires,Critical
2,1994,src/app/(dashboard)/ventes-impayes/impayes/page.tsx,ventes-impayes/impayes,Critical
3,1786,src/app/(dashboard)/ag/[id]/pv/page.tsx,ag/[id],Critical
4,1733,src/app/(dashboard)/documents/ged/page.tsx,documents/ged,Critical
5,1398,src/app/(dashboard)/communication/mail/page.tsx,communication/mail,Critical
6,1183,src/app/(dashboard)/ag/new/page.tsx,ag/new,Critical
7,990,src/app/(dashboard)/documents/expenses/page.tsx,documents/expenses,Critical
8,988,src/app/(dashboard)/ag/[id]/session/page.tsx,ag/[id],Critical
9,943,src/app/(dashboard)/finance/rapprochement-bancaire/page.tsx,finance/rapprochement-bancaire,Critical
10,937,src/app/(dashboard)/ag/resolutions/page.tsx,ag/resolutions,Critical
11,908,src/app/(dashboard)/communication/mail/[id]/page.tsx,communication/mail,Critical
12,883,src/app/(dashboard)/communication/evenements/nouveau/page.tsx,communication/evenements,Critical
13,871,src/app/(dashboard)/ag/[id]/edit/page.tsx,ag/[id],Critical
14,866,src/app/(dashboard)/ventes-impayes/ventes/nouvelle/page.tsx,ventes-impayes/ventes,Critical
15,837,src/app/(dashboard)/communication/mail/nouveau/page.tsx,communication/mail,Critical
16,798,src/app/(dashboard)/communication/mur/nouveau/page.tsx,communication/mur,Refactor
17,783,src/app/(dashboard)/settings/templates/[id]/page.tsx,settings/templates,Refactor
18,775,src/app/(dashboard)/maintenance/providers/[id]/page.tsx,maintenance/providers,Refactor
19,770,src/app/(dashboard)/communication/mur/[id]/page.tsx,communication/mur,Refactor
20,748,src/app/(dashboard)/communication/messagerie-privee/[id]/page.tsx,communication/messagerie-privee,Refactor
21,741,src/app/(dashboard)/communication/evenements/page.tsx,communication/evenements,Refactor
22,717,src/app/(dashboard)/maintenance/service-orders/[id]/page.tsx,maintenance/service-orders,Refactor
23,706,src/app/(dashboard)/sales/page.tsx,sales,Refactor
24,702,src/app/(dashboard)/maintenance/providers/coproflex/page.tsx,maintenance/providers,Refactor
25,693,src/app/(dashboard)/maintenance/service-orders/new/page.tsx,maintenance/service-orders,Refactor
26,691,src/app/(dashboard)/communication/evenements/[id]/page.tsx,communication/evenements,Refactor
27,684,src/app/(dashboard)/maintenance/contracts/[id]/page.tsx,maintenance/contracts,Refactor
28,634,src/app/(dashboard)/maintenance/providers/page.tsx,maintenance/providers,Refactor
29,616,src/app/(dashboard)/communication/mur/page.tsx,communication/mur,Refactor
30,605,src/app/(dashboard)/finance/budgets/[id]/page.tsx,finance/budgets,Refactor
31,598,src/app/(dashboard)/communication/messagerie-privee/nouveau/page.tsx,communication/messagerie-privee,Refactor
32,560,src/app/(dashboard)/ventes-impayes/page.tsx,ventes-impayes,Refactor
33,554,src/app/(dashboard)/finance/etats-dates/page.tsx,finance/etats-dates,Refactor
34,552,src/app/(dashboard)/dashboard/page.tsx,dashboard,Refactor
35,538,src/app/(dashboard)/communication/messagerie-privee/page.tsx,communication/messagerie-privee,Refactor
36,526,src/app/(dashboard)/ventes-impayes/ventes/page.tsx,ventes-impayes/ventes,Refactor
37,502,src/app/(dashboard)/maintenance/logbook/assurances/[id]/page.tsx,maintenance/logbook,Refactor
38,484,src/app/(dashboard)/documents/ledger/page.tsx,documents/ledger,Refactor
39,480,src/app/(dashboard)/finance/factures/page.tsx,finance/factures,Refactor
40,474,src/app/(dashboard)/settings/templates/page.tsx,settings/templates,Refactor
41,474,src/app/(dashboard)/finance/factures/[id]/page.tsx,finance/factures,Refactor
42,436,src/app/(dashboard)/coproprietaires/page.tsx,coproprietaires,Refactor
43,427,src/app/(dashboard)/finance/cles-repartition/[id]/page.tsx,finance/cles-repartition,Refactor
44,420,src/app/(dashboard)/finance/cles-repartition/page.tsx,finance/cles-repartition,Refactor
45,419,src/app/(dashboard)/ag/[id]/projector/page.tsx,ag/[id],Refactor
46,406,src/app/(dashboard)/portefeuille/page.tsx,portefeuille,Refactor
47,406,src/app/(dashboard)/finance/cles-repartition/new/page.tsx,finance/cles-repartition,Refactor
48,404,src/app/(dashboard)/ag/[id]/agenda/page.tsx,ag/[id],Refactor
49,404,src/app/(dashboard)/maintenance/service-orders/page.tsx,maintenance/service-orders,Refactor
50,401,src/app/(dashboard)/ag/[id]/envoi/page.tsx,ag/[id],Refactor
